(1, 16217, 15810, 15837, array([ 6224.,  1504., -4080.]), array([ 642., -137.,  117.]), array([-271., -105.,  482.]))
(1, 17166, 16818, 15837, array([ 6176.,  1520., -4112.]), array([ 675., -108.,  110.]), array([-271., -105.,  482.]))
(1, 18590, 17826, 18384, array([ 6224.,  1504., -4128.]), array([ 723.,  -86.,  122.]), array([-271., -103.,  482.]))
(1, 19539, 18834, 18384, array([ 6256.,  1504., -4144.]), array([ 693.,  -72.,  114.]), array([-271., -103.,  482.]))
(1, 20488, 20851, 18384, array([ 6240.,  1536., -4144.]), array([ 799.,  -61.,  142.]), array([-271., -103.,  482.]))
(1, 21912, 21859, 20930, array([ 6304.,  1552., -4112.]), array([ 829.,  -25.,  171.]), array([-273.,  -99.,  484.]))
(1, 22862, 22867, 20930, array([ 6352.,  1520., -4128.]), array([ 844.,  -20.,  172.]), array([-273.,  -99.,  484.]))
(1, 23811, 23875, 23477, array([ 6336.,  1568., -4112.]), array([ 843.,    2.,  165.]), array([-269.,  -99.,  485.]))
(1, 25235, 24883, 23477, array([ 6336.,  1552., -4096.]), array([ 865.,   -9.,  183.]), array([-269.,  -99.,  485.]))
(1, 26184, 25891, 26024, array([ 6320.,  1552., -4176.]), array([ 821.,    9.,  195.]), array([-271., -101.,  489.]))
(1, 27608, 26900, 26024, array([ 6304.,  1600., -4176.]), array([ 859.,   -6.,  202.]), array([-271., -101.,  489.]))
(1, 28556, 27908, 28572, array([ 6256.,  1616., -4160.]), array([ 933.,    7.,  204.]), array([-269.,  -98.,  488.]))
(1, 29506, 28916, 28572, array([ 6256.,  1600., -4144.]), array([ 952.,   36.,  190.]), array([-269.,  -98.,  488.]))
(1, 30930, 30932, 28572, array([ 6240.,  1568., -4096.]), array([ 1065.,    80.,   220.]), array([-269.,  -98.,  488.]))
(1, 31879, 31940, 31119, array([ 6272.,  1552., -4016.]), array([ 1070.,   110.,   203.]), array([-269.,  -96.,  488.]))
(1, 32829, 32948, 31119, array([ 6304.,  1456., -3984.]), array([ 1069.,   123.,   200.]), array([-269.,  -96.,  488.]))
(1, 34252, 33957, 33666, array([ 6320.,  1440., -4080.]), array([ 1005.,   174.,   200.]), array([-271.,  -93.,  485.]))
(1, 35202, 34965, 33666, array([ 6384.,  1376., -4080.]), array([ 992.,  174.,  214.]), array([-271.,  -93.,  485.]))
(1, 36626, 35973, 36213, array([ 6368.,  1504., -4192.]), array([ 961.,  169.,  213.]), array([-271.,  -93.,  486.]))
(1, 37575, 36981, 36213, array([ 6400.,  1568., -4160.]), array([ 891.,  185.,  240.]), array([-271.,  -93.,  486.]))
(1, 38524, 37989, 38760, array([ 6432.,  1488., -4160.]), array([ 914.,  189.,  229.]), array([-267.,  -90.,  486.]))
(1, 39948, 40005, 38760, array([ 6432.,  1456., -4240.]), array([ 966.,  185.,  196.]), array([-267.,  -90.,  486.]))
